Brand of Car,Model of car,Year of Car,Price sold (or unsold),Country  of auction,Currency,Year of Auction
Porsche,911 Carrera S Convertible,2006,"£19,500",UK,"£19,500",2023
Porsche,911 Carrera 4S Convertible,2007, (unsold),UK,(unsold),2023
Porsche,911 Targa 4S,2022,"$156,800",USA,"$156,800",2023
Porsche,911 Carrera 4S,2004,"£20,500",UK,"£20,500",2023
Porsche,911 Carrera 4S,2008,"£33,394",UK,"£33,394",2023
Porsche,911 Carrera 4 S,2008,"Estimate £24,000 - £26,000 (unsold)",UK,Estimate,2023
Porsche,911 Carrera 4S Cabriolet,2006,"€54,832",France,"€54,832",2023
Porsche,911 Carrera 4S,2003,"€54,832",France,"€54,832",2023
Porsche,911 3.6 C2,2001,"£14,580",UK,"£14,580",2023
Porsche,911 Carrera S,2005,"$88,000",USA,"$88,000",2023
Porsche,911 3.6 Targa,2003,"£13,608",UK,"£13,608",2023
Porsche,911 Carrera S,2005,"£25,705",UK,"£25,705",2023
Porsche,911 Targa 4S,2015,"$115,500",UK,"$115,500",2023
Porsche,911 Carrera 4S,2017,"$106,700",UK,"$106,700",2023
Porsche,911 Carrera 4 GTS,2015,"$110,000",UK,"$110,000",2023
Porsche,911 Carrera 4S,2004,"£28,687",UK,"£28,687",2022
Porsche,911 Carrera 4S,2002,"£21,375",UK,"£21,375",2022
Porsche,911 3.8 Carrera S Cabriolet,2005,"£20,812",UK,"£20,812",2022
Porsche,911 Carrera 4 S,2004,"£14,673",UK,"£14,673",2022
Porsche,911 Carrera 2,2000,"£12,000",UK,"£12,000",2022
Porsche,911 Carrera 4S Convertible,2006,"Estimate £16,000 - £20,000 (unsold)",UK,Estimate,2022
Porsche,911 Carrera 2,2000,"£5,053",UK,"£5,053",2022
Porsche,911 Carrera 4 Cabriolet,2000,"Estimate £15,000 - £17,000 (unsold)",UK,Estimate,2022
Porsche,911,2001,"£12,150",UK,"£12,150",2022
Porsche,911 Carrera 4S,2007,"Estimate £20,000 - £24,000 (unsold)",UK,Estimate,2022
Porsche,911 Carrera Cabriolet,2001,"£18,250",UK,"£18,250",2022
Porsche,911 Carrera 4S,2004,"£25,760",UK,"£25,760",2022
Porsche,911 Carrera S,2009, (unsold),UK,(unsold),2022
Porsche,911,2003,"$26,400",USA,"$26,400",2022
Porsche,911 Carrera,2002,"$22,000",USA,"$22,000",2022
Porsche,911 3.8 Carrera S,2005,"£29,250",UK,"£29,250",2022
Porsche,911 Carrera S,2005,"£29,150",UK,"£29,150",2022
Porsche,911 Carrera 2 S,2005,"£23,220",UK,"£23,220",2022
Porsche,911 Carrera S,2001,"£15,768",UK,"£15,768",2022
Porsche,911 Carrera S,2005,"£17,999",UK,"£17,999",2022
Porsche,911 Carrera S,2005,"£22,790",UK,"£22,790",2022
Porsche,911 Carrera 4S Cabriolet,2006,"£25,012",UK,"£25,012",2022
Porsche,911 Carrera 2S,2007,"Estimate £32,000 - £36,000 (unsold)",UK,Estimate,2022
Porsche,911 Carrera S Cabriolet,2005,"Estimate £28,000 - £32,000 (unsold)",UK,Estimate,2022
Porsche,911 Carrera 4S,2007,"Estimate £20,000 - £25,000 (unsold)",UK,Estimate,2022
Porsche,911 Carrera 3.4,2000,"€29,800",France,"€29,800",2022
Porsche,911 Carrera Targa,2002,"€46,000",Austria,"€46,000",2022
Porsche,911 Carrera 4S Cabriolet,2004,"$40,700",USA,"$40,700",2022
Porsche,911 Cabriolet,2012,Estimate - Not Given (unsold),USA,Estimate,2022
Porsche,911 Carrera Convertible,2001,"$39,600",USA,"$39,600",2022
Porsche,911 Carrera,2001,"£11,161",UK,"£11,161",2022
Porsche,911 Carrera S,2005,"£19,080",UK,"£19,080",2022
Porsche,911 Carrera S,2006,"£27,878",UK,"£27,878",2022
Porsche,911 Carrera 2S,2004,"Estimate £25,000 - £30,000 (unsold)",UK,Estimate,2022
Porsche,911 Carrera,2001,"£11,603",UK,"£11,603",2022
Porsche,911 Carrera Targa,2003,"£18,480",UK,"£18,480",2022
Porsche,911 Carrera S,2006,"£30,475",UK,"£30,475",2022
Porsche,911 Carrera,2006,"£22,000",UK,"£22,000",2022
Porsche,911 Carrera 4S,2004,"£14,280",UK,"£14,280",2022
Porsche,911 Carrera 4S Cabriolet,2005,"£19,040",UK,"£19,040",2022
Porsche,911 Carrera 2S,2005,"£13,720",UK,"£13,720",2022
Porsche,911 Carrera 4S Cabriolet,2006,"Estimate £24,000 - £28,000 (unsold)",UK,Estimate,2022
Porsche,911 Carrera S Cabriolet,2015,Estimate - Not Given (unsold),USA,Estimate,2022
Porsche,911 Targa 4,2015,Estimate - Not Given (unsold),USA,Estimate,2022
Porsche,911 Carrera S,2006,"$70,400",USA,"$70,400",2022
Porsche,911 Carrera,2004, (unsold),UK,(unsold),2022
Porsche,911 Carrera S Convertible,2006,"£19,800",UK,"£19,800",2022
Porsche,911 3.8 Carrera 2 S,2004,"£24,840",UK,"£24,840",2022
Porsche,911 Carrera S,2008,"$140,000",USA,"$140,000",2022
Porsche,911 Carrera 4S,2017,"Estimate $160,000 - $180,000 (unsold)",USA,Estimate,2022
Porsche,911 Carrera 4S,2004,"$67,200",USA,"$67,200",2022
Porsche,911 Carrera S,2004,"£18,020",UK,"£18,020",2022
Porsche,911 Carrera 2S,2010,"£43,165",UK,"£43,165",2022
Porsche,911 Carrera 2 Cabriolet,2001,"£21,392",UK,"£21,392",2022
Porsche,911 Carrera,2001,"£13,115",UK,"£13,115",2022
Porsche,911,2008,"Estimate £24,000 - £26,000 (unsold)",UK,Estimate,2022
Porsche,911 Carrera Cabriolet,2001, (unsold),UK,(unsold),2022
Porsche,911 Carrera 4,2006,"Estimate £20,000 - £25,000 (unsold)",UK,Estimate,2022
Porsche,911 Carrera Cabriolet,2001, (unsold),UK,(unsold),2022
Porsche,911 Targa 4S,2011,"£51,940",UK,"£51,940",2022
Porsche,911 Carrera 2S,2007,"Estimate £29,000 - £34,000 (unsold)",UK,Estimate,2022
Porsche,911 Carrera 2S Convertible,2005,"Estimate £24,000 - £28,000 (unsold)",UK,Estimate,2022
Porsche,911 Carrera,2004,"Estimate £13,000 - £16,000 (unsold)",UK,Estimate,2022
Porsche,911 Carrera 2S Convertible,2005,"£22,400",UK,"£22,400",2022
Porsche,911 Carrera 4S Convertible,2011,"£39,200",UK,"£39,200",2022
Porsche,911 Carrera 4S,2004,"£22,425",UK,"£22,425",2022
Porsche,911 Carrera S Cabriolet,2008,Estimate - Not Given (unsold),USA,Estimate,2022
Porsche,911,2010,"£38,024",UK,"£38,024",2022
Porsche,911 Carrera 2,2002,"Estimate £16,000 - £18,000 (unsold)",UK,Estimate,2022
Porsche,911 Carrera 2S,2008,"£50,583",UK,"£50,583",2022
Porsche,911 C2 Cabriolet,2002,"£17,000",UK,"£17,000",2022
Porsche,911 Carrera 4 Cabriolet,2000,"£16,312",UK,"£16,312",2022
Porsche,911 Carrera,2009, (unsold),UK,(unsold),2022
Porsche,911 3.8 Carrera 2 S,2005,"£27,000",UK,"£27,000",2022
Porsche,911 3.4 Carrera 4 Convertible,2000,"£13,392",UK,"£13,392",2022
Porsche,911 Carrera 4,2006,"£22,500",UK,"£22,500",2022
Porsche,911 Carrera T,2019,"Estimate $125,000 - $150,000 (unsold)",USA,Estimate,2022
Porsche,911 Carrera 4S,2020,"Estimate $125,000 - $175,000 (unsold)",Canada,Estimate,2022
Porsche,911 Carrera S,2005,"$51,700",Canada,"$51,700",2022
Porsche,911 Carrera,2004,"£14,000",UK,"£14,000",2022
Porsche,911 Carrera 2,2005,"£24,456",UK,"£24,456",2022
Porsche,911 Carrera,2001,"£13,440",UK,"£13,440",2022
Porsche,911 Carrera 4S,2004,"£24,380",UK,"£24,380",2022
Porsche,911 Carrera 3.6,2004,"£17,000",UK,"£17,000",2022
Porsche,911 Carrera 4S Cabriolet,2008,"£27,888",UK,"£27,888",2022
Porsche,911 Carrera 2S,2005,"£21,938",UK,"£21,938",2022
